Authors,Year,Study Type,Study Organism(s),Common,Active Ingredient(s),Application Rate,Individuals (n),Measure,Mean,± SD,± SE,Treatments,Replicates,Location,Data Source,,F,t,Z,X2,P
Tran et al.,2004,lab,Neochrysocharis formosa,Parasitoid wasp,Imidacloprid,0.5 g/L,20,No. of eggs laid,0.65,0.99,,1,,Japan,Table 3,,,,,,
,,,,,Distilled Water,*,20,No. of eggs laid,2.35,0.81,,1,,Japan,Table 3,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,Imidacloprid,0.5 g/L,20,No. of oviposit insertions,1.95,2.37,,1,,Japan,Table 3,,,,,,
,,,,,Distilled Water,*,20,No. of oviposit insertions,5.63,2.41,,1,,Japan,Table 3,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,Imidacloprid,0.5 g/L,20,No. of hosts fed on,0,0,,1,,Japan,Table 3,,,,,,
,,,,,Distilled Water,*,20,No. of hosts fed on,0.25,0.44,,1,,Japan,Table 3,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,Imidacloprid,0.5 g/L,20,No. of hosts found,1.1,0.97,,1,,Japan,Table 3,,,,,,
,,,,,Distilled Water,*,20,No. of hosts found,3.05,1.15,,1,,Japan,Table 3,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Moscardini et al.,2014,lab,Lysiphlebus testaceipes,Parasitoid wasp,Thiamethoxam,50 mg AI / 100 kg,30,Percent aphids attacked,24.4,,5.2,4,,Kansas,Table 1,,,,,,
,,,,,Untreated seed,*,30,Percent aphids attacked,43.1,,7.4,4,,Kansas,Table 1,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,Thiamethoxam,50 mg AI / 100 kg,30,Percent aphids parasitized,20.6,,5,4,,Kansas,Table 1,,,,,,
,,,,,Untreated seed,*,30,Percent aphids parasitized,38.8,,7.9,4,,Kansas,Table 1,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Abbott et al.,2008,lab/field,Megachile rotundata,Alfalfa leaf-cutter bee,Control,0 ppb,89,Female Weight (mg),33.6,,0.44,1,,British Columbia,Table 1,,,,,,
,,,,,Clothianidin,3 ppb,89,Female Weight (mg),33.6,,0.47,1,,British Columbia,Table 1,,,,,,
,,,,,Clothianidin,30 ppb,71,Female Weight (mg),32.3,,0.63,1,,British Columbia,Table 1,,,,,,
,,,,,Clothianidin,300 ppb,73,Female Weight (mg),33.8,,0.44,1,,British Columbia,Table 1,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,Control,0 ppb,62,Female cocoon completion,12.5,,0.16,1,,British Columbia,Table 1,,,,,,
,,,,,Clothianidin,3 ppb,66,Female cocoon completion,12.8,,0.18,1,,British Columbia,Table 1,,,,,,
,,,,,Clothianidin,30 ppb,62,Female cocoon completion,12.7,,0.25,1,,British Columbia,Table 1,,,,,,
,,,,,Clothianidin,300 ppb,50,Female cocoon completion,12.9,,0.2,1,,British Columbia,Table 1,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Sandrock et al.,2014,lab,Osmia bicornis,Red mason bee,Control,*,101,Offspring body weights (M) mg,42.7,12.5,,1,,Switzerland,Figure 4,,,,,,
,,,,,CLO/THX,0.45 µg/kg / 2.87 µg/kg,101,Offspring body weights (M) mg,45.2,12.8,,1,,Switzerland,Figure 4,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,Control,*,101,Offspring body weights (F) mg,88.6,18.8,,1,,Switzerland,Figure 4,,,,,,
,,,,,CLO/THX,0.45 µg/kg / 2.87 µg/kg,101,Offspring body weights (F) mg,87.6,18.8,,1,,Switzerland,Figure 4,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,Control,*,194,No. of offspring per nest tube,4.17,1.58,,1,,Switzerland,Figure 3,,,,,,
,,,,,CLO/THX,0.45 µg/kg / 2.87 µg/kg,151,No. of offspring per nest tube,2.8,1.46,,1,,Switzerland,Figure 3,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Seagraves et al.,2012,field,Orius insidiosus,Insidious flower bug,Untreated control,*,,Seasonal sums,18.25,,2.54,3,4,South Dakota,Table 3,,,,,,
,,,,,Imidacloprid,62.5 g ai/100 kg seed,,Seasonal sums,11.87,,1.62,3,4,South Dakota,Table 3,,,,,,
,,,,,Thiamethoxam,50 g ai/100 kg seed,,Seasonal sums,14.87,,2.59,3,4,South Dakota,Table 3,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Nabis americoferus,Damsel bugs,Untreated control,*,,Seasonal sums,14.25,,1.88,3,4,South Dakota,Table 3,,,,,,
