Authors,Year,Study Type,Organism,Common Name,Functional group,Habitat,AI,AI type,Application Rate,Application Units,Dose,Dose Units,Conversion,Individuals (n),Fitness measure,n measure,Response measure,Notes,Mean,SE,SD,Treatment,Replicates,No. Sample Periods,Study Location,Data Source,Graph Digitizer
Peck,2009,field plot,Collembola,springtails,omnivore,soil,IMI,granular,0.37,kg/ha,,,,51423,abundance,total both years,abundance,overall mean per sampling date,119,30,,6,4,,"Geneva, NY",figure 2,Y
Peck,2009,field plot,Collembola,springtails,omnivore,soil,control,none,0,kg/ha,,,,51423,abundance,total both years,abundance,overall mean per sampling date,308,48,,6,4,,"Geneva, NY",figure 2,Y
Peck,2009,field plot,Coleoptera adults,beetle,omnivore,both,IMI,granular,0.37,kg/ha,,,,1824,abundance,total both years,abundance,overall mean per sampling date,4.9,0.5,,6,4,,"Geneva, NY",figure 2,Y
Peck,2009,field plot,Coleoptera adults,beetle,omnivore,both,control,none,0,kg/ha,,,,1824,abundance,total both years,abundance,overall mean per sampling date,12,1.5,,6,4,,"Geneva, NY",figure 2,Y
Easton and Goulson,2013,field,Diptera,true flies,pollinator,both,IMI,analytical grade,,,1,µg/L,,10423,abundance,% of total caught,avoidance,mean caught per trap,2,0.8,,2,25,,"Stirling, Scotland",figure 1,Y
Easton and Goulson,2013,field,Diptera,true flies,pollinator,both,control,water,,,0,µg/L,,10423,abundance,% of total caught,avoidance,mean caught per trap,172,26,,2,25,,"Stirling, Scotland",figure 1,Y
Easton and Goulson,2013,field,Diptera,true flies,pollinator,both,IMI,analytical grade,,,0.1,µg/L,,10423,abundance,% of total caught,avoidance,mean caught per trap,26,14,,2,25,,"Stirling, Scotland",figure 1,Y
Easton and Goulson,2013,field,Diptera,true flies,pollinator,both,control,water,,,0,µg/L,,10423,abundance,% of total caught,avoidance,mean caught per trap,80,36,,2,25,,"Stirling, Scotland",figure 1,Y
Easton and Goulson,2013,field,Diptera,true flies,pollinator,both,IMI,analytical grade,,,0.01,µg/L,,10423,abundance,% of total caught,avoidance,mean caught per trap,43,22,,2,25,,"Stirling, Scotland",figure 1,Y
Easton and Goulson,2013,field,Diptera,true flies,pollinator,both,control,water,,,0,µg/L,,10423,abundance,% of total caught,avoidance,mean caught per trap,95,44,,2,25,,"Stirling, Scotland",figure 1,Y
Easton and Goulson,2013,field,Coleoptera,beetle,omnivore,both,IMI,analytical grade,,,1,µg/L,,383,abundance,% of total caught,avoidance,mean caught per trap,0.86,0.18,,2,25,,"Stirling, Scotland",figure 1,Y
Easton and Goulson,2013,field,Coleoptera,beetle,omnivore,both,control,water,,,0,µg/L,,383,abundance,% of total caught,avoidance,mean caught per trap,2.75,0.43,,2,25,,"Stirling, Scotland",figure 1,Y
