AGASER,AGASPL,AGATEX,AGAVIR,ANDSP,ANTWAL,APIMEL,AUGPUR,AUGAUR,AUGFUL,AUGMET,CERCAL,CERCOC,CERDUP,CERMIK,CERSTR,COEMEX,COLALB,EUCHAM,EUCROS,HALCON,HALLIG,HALPAR,HALRUB,HALTRI,HERVAR,HYLMOD,LASDIA,MEGADD,MEGBRE,MEGCEN,MEGDEF,MEGGEO,MEGINE,MEGMEN,MEGMON,MEGPET,MEGREL,MELAGI,MELBIM,MELCOM,MELCMP,MELDEN,MELTEP,MELTRI,MELTAU,NOMCRE,NOMSP,OSMBUC,OSMGEO,OSMSIM,PROSP,PTIBOM,SVAOBL,TRICON,TRIDIS,TRIHEL,TRILUN,TRISP,XENKAN
0,0,0,1,0,0,19,2,0,0,0,0,0,0,0,0,0,1,5,0,2,1,0,4,0,0,1,42,0,0,0,0,0,0,0,0,0,0,1,2,2,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,4,30,4,1,9,2,0,0,1,1,0,0,0,3,0,4,1,0,2,1,0,17,0,0,1,0,0,0,0,0,0,0,1,8,0,5,1,8,6,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1
0,0,0,1,0,0,2,6,0,2,5,0,0,0,1,0,0,0,0,0,1,3,4,18,0,0,0,6,1,0,0,0,0,0,0,0,0,0,6,4,0,0,2,1,2,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0
0,0,0,0,0,1,16,7,1,2,2,0,0,0,0,0,0,0,0,0,0,0,17,12,0,0,0,14,1,0,0,0,0,0,0,0,0,1,5,4,3,2,4,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
0,0,0,10,0,0,2,4,0,2,1,1,0,0,1,0,0,0,1,0,0,4,5,4,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,3,0,0,14,4,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,8,1,0,0,5,2,0,0,0,0,0,1,2,0,0,0,28,0,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,1,5,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,16,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
0,0,0,0,2,0,16,2,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,19,3,6,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,7,0,0,1,2,0,0,0,1,0,0,0,4,0,0,4,0,2,1,0,0,8,0,0,0,0,0,0,2,0,0,0,0,9,1,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,29,3,0,1,0,0,0,0,4,0,0,0,9,0,1,8,0,1,0,0,0,11,1,0,0,0,0,0,0,0,0,0,1,3,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,1,4,0,2,6,0,0,0,3,0,0,0,18,0,0,3,1,12,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,11,4,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,1,0,0,0,4,0,0,0,7,0,0,6,1,1,0,0,1,12,1,0,0,0,0,0,1,0,0,0,0,1,4,8,6,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,7,0,0,10,2,0,1,0,0,0,0,1,0,0,0,17,0,0,0,7,11,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,2,0,1,5,0,0,0,2,0,0,0,8,0,1,6,36,18,1,0,3,22,0,0,0,0,0,0,2,0,0,0,0,2,1,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,13,0,0,7,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0
0,0,2,0,0,0,2,20,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,18,0,0,1,0,0,0,0,0,1,0,0,7,0,2,1,1,0,0,0,0,0,1,0,0,4,1,0,0,0,1,0,0
1,0,0,1,0,0,9,14,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,8,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,1,0,0,4,2,0,3,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,10,18,0,0,0,0,0,0,0,0,2,0,0,13,7,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,1,2,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
