FieldID,Treatment,Crop,FieldArea,MargArea,AvgMgWidth,CtoMEdge,DistNearTr,Jdate,DaysSinceP,PercMgMow,AvgFlCover,NumSpBloom,CollectTime,Temp,Humidity,WindSpd,AGASER,AGASPL,AGATEX,AGAVIR,ANDSP,ANTWAL,AUGPUR,AUGAUR,AUGFUL,AUGMET,BOMAUR,BOMBIM,BOMFER,BOMGRI,BOMIMP,BOMPEN,BOMVAG,CERCAL,CERCOC,CERDUP,CERMIK,CERSTR,COEMEX,COLALB,EUCHAM,EUCROS,HALCON,HALLIG,HALPAR,HALRUB,HALTRI,HERVAR,HYLMOD,LASDIA,MEGADD,MEGBRE,MEGCEN,MEGDEF,MEGGEO,MEGINE,MEGMEN,MEGMON,MEGPET,MEGREL,MELAGI,MELBIM,MELCOM,MELCMP,MELDEN,MELTEP,MELTRI,MELTAU,NOMCRE,NOMSP,OSMBUC,OSMGEO,OSMSIM,PROSP,PTIBOM,SVAOBL,TRICON,TRIDIS,TRIHEL,TRILUN,TRISP,XENKAN,XYLVIR
ATT1,treated,soybeans,0.34,0.42,10,0.7,200,174,14,0,53,4,12:00,31.8,61,11.3,0,0,0,1,0,0,2,0,1,0,3,0,0,3,0,5,0,0,0,0,0,0,0,1,5,0,2,1,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ATT2,treated,soybeans,1.78,0.29,7.2,1.2,616,174,14,0,52,6,11:00,30.6,61.4,4.7,0,0,0,1,0,0,23,2,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,1,0,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ATT3,treated,soybeans,0.73,0.62,15,0,142,174,14,0,72,7,9:00,28.5,67.7,8,0,0,0,1,0,0,3,0,2,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,5,2,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ATT4,treated,soybeans,0.77,0.31,20,0,142,174,14,0,47,4,9:55,29.2,65.5,9.3,0,0,0,0,0,0,2,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATUT1,untreated,oldfield,2,0.82,40,0,657,174,0,0,60,7,14:00,32.8,58.2,14.1,0,0,0,10,0,0,1,0,2,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,3,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATUT2,untreated,oldfield,0.14,0.13,10.5,0,174,174,0,0,75,8,12:40,32,62.5,21.3,0,0,0,0,0,0,1,0,1,0,1,1,0,4,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
FGT1,treated,corn,1.01,0.21,7.5,0.8,387,158,30,0,59,3,18:16,27,39,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,28,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
FGT2,treated,corn,2.59,0.56,22.9,0.6,617,158,30,0,45,6,19:00,27.2,37.4,2.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FGT3,treated,corn,3.24,0.09,10.3,1.1,503,158,30,0,62,5,14:54,29,35,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGT4,treated,corn,2.23,0.06,3.4,4.5,327,158,30,80,33,3,16:49,28.6,40,1.9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
