"","Authors","PubYear","Title","Study.Type","Field_plot.size_ha","Fitness.measure","Organism","Common.Name","Order","Functional.group","Nesting.Area","Foraging.Area","Treatment.1","Treatment.2","Treatment.3","Treatment.4","Treatment.5","AI.type","Control.AI.Rate","AI.Rate_T1","AI.Rate_T2","Application.Units","Control.Dose_T1","Dose_T1","Dose_T2","Dose_T3","Dose_T4","Dose.Units","Control_ppb","T1_ppb","T2_ppb","T3_ppb","T4_ppb","Study.control..n.","Study.T1..n.","Study.T2..n.","Study.T3..n.","Study.T4..n.","Study.Year","Indpen..Study.n.unit","Response.measure","Notes","Con_Mean","Con_SE","T1_Mean","T1_SE","T2_Mean","T2_SE","T3_Mean","T3_SE","T4_Mean","T4_SE","No_Treatments","No_Replicates","No_SamplePeriods","Study.Location","Mean.Data.Source","Graph.Digitizer","yi","vi","omnivore","pollinator","predator"
"1","Leslie et al.","2010","Conventional and seed-based insect management strategies similarly influence nontarget coleopteran communities in maize","field plots","0.11","abundance","Coleoptera","carabidae","Coleoptera","predator","both","both","control","IMI","","","","seed treatment",0,160,NA,"µg/seed",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,3,3,NA,NA,NA,2003,"field","density","mean carabid density per trap (5 traps per field)",2.53,0.2,1.92,0.17,NA,NA,NA,NA,NA,NA,2,"3",10,"Pennsylvania","Fig 2","Y",-2.62225718088976,1.19801494395933,0,0,1
"2","Leslie et al.","2010","Conventional and seed-based insect management strategies similarly influence nontarget coleopteran communities in maize","field plots","0.11","abundance","Coleoptera","carabidae","Coleoptera","predator","both","both","control","IMI","","","","seed treatment",0,160,NA,"µg/seed",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,3,3,NA,NA,NA,2004,"field","density","mean carabid density per trap (5 traps per field)",4.62,0.24,3.72,0.24,NA,NA,NA,NA,NA,NA,2,"3",10,"Pennsylvania","Fig 2","Y",-2.99206710301074,1.34903434485277,0,0,1
"3","Kilpatrick et al.","2005","Activity of selected neonicotinoids and dicrotophos on nontarget athropods in cotton: implications in insect management","field plots","0.01","abundance","Orius insidiosus","Insidious flower bugs","Hemiptera","predator","aboveground","aboveground","control","THX","IMI","","","foliar",0,0.05,0.05,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,4,NA,NA,2003,"field plot","abundance","post-treatment counts per field plot",3.2,0.79,0.53,0.43,2,0.26,NA,NA,NA,NA,3,"5",NA,"South Carolina","Fig 1","Y",-3.64657514042472,1.58552685141649,0,0,1
"4","Kilpatrick et al.","2005","Activity of selected neonicotinoids and dicrotophos on nontarget athropods in cotton: implications in insect management","field plots","0.01","abundance","Geocoris sp.","Big-eyed bugs","Hemiptera","predator","aboveground","aboveground","control","THX","IMI","","","foliar",0,0.05,0.05,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,4,NA,NA,2003,"field plot","abundance","post-treatment counts per field plot",8.65,1.33,2.81,0.66,6.39,0.8,NA,NA,NA,NA,3,"5",NA,"South Carolina","Fig 1","Y",-4.83176676176464,2.50785847305943,0,0,1
"5","Knoepp et al. ","2012","Imidacloprid movement in soils and impacts on soil microathropods in southern appalachian eastern hemlock stands","trees","","abundance","Collembola","springtails","Collembola","detritivore","both","both","control","IMI","","","","soil injection",0,1.5,NA,"g/inch",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,2,6,NA,NA,NA,2008,"tree","abundance","post-treatment counts per tree (1m), low elevation, 1yr",1.5,0.5,3,1.03,NA,NA,NA,NA,NA,NA,2,"4",3,"North Carolina","Author","N",1.6093653392089,0.695562428606524,0,0,0
"6","Knoepp et al. ","2012","Imidacloprid movement in soils and impacts on soil microathropods in southern appalachian eastern hemlock stands","trees","","abundance","Collembola","springtails","Collembola","detritivore","both","both","control","IMI","","","","soil injection",0,1.5,NA,"g/inch",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,2,6,NA,NA,NA,2008,"tree","abundance","post-treatment counts per tree (2m), low elevation, 1yr",1.5,0.5,5.67,1.8,NA,NA,NA,NA,NA,NA,2,"4",3,"North Carolina","Author","N",2.7420256175189,0.891768926907213,0,0,0
"7","Knoepp et al. ","2012","Imidacloprid movement in soils and impacts on soil microathropods in southern appalachian eastern hemlock stands","trees","","abundance","Collembola","springtails","Collembola","detritivore","both","both","control","IMI","","","","soil injection",0,1.5,NA,"g/inch",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,2,6,NA,NA,NA,2008,"tree","abundance","post-treatment counts per tree (dripline), low elevation, 1yr",2,2,3.17,1.08,NA,NA,NA,NA,NA,NA,2,"4",3,"North Carolina","Author","N",0.632324507315922,1.32843168836218,0,0,0
"8","Knoepp et al. ","2012","Imidacloprid movement in soils and impacts on soil microathropods in southern appalachian eastern hemlock stands","trees","","abundance","Collembola","springtails","Collembola","detritivore","both","both","control","IMI","","","","soil injection",0,1.5,NA,"g/inch",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,2,6,NA,NA,NA,2008,"tree","abundance","post-treatment counts per tree (1m), high elevation, 1yr",7.5,0.29,1.67,0.76,NA,NA,NA,NA,NA,NA,2,"4",3,"North Carolina","Author","N",-8.80412406431708,5.38386678372247,0,0,0
"9","Knoepp et al. ","2012","Imidacloprid movement in soils and impacts on soil microathropods in southern appalachian eastern hemlock stands","trees","","abundance","Collembola","springtails","Collembola","detritivore","both","both","control","IMI","","","","soil injection",0,1.5,NA,"g/inch",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,2,6,NA,NA,NA,2008,"tree","abundance","post-treatment counts per tree (2m), high elevation, 1yr",5.5,3.18,5.17,3.04,NA,NA,NA,NA,NA,NA,2,"4",3,"North Carolina","Author","N",-0.0921460531293889,0.933593744462276,0,0,0
"10","Knoepp et al. ","2012","Imidacloprid movement in soils and impacts on soil microathropods in southern appalachian eastern hemlock stands","trees","","abundance","Collembola","springtails","Collembola","detritivore","both","both","control","IMI","","","","soil injection",0,1.5,NA,"g/inch",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,2,6,NA,NA,NA,2008,"tree","abundance","post-treatment counts per tree (dripline), high elevation, 1yr",3.5,1.44,5.5,2.63,NA,NA,NA,NA,NA,NA,2,"4",3,"North Carolina","Author","N",0.819381660654575,0.623700403065126,0,0,0
"11","Knoepp et al. ","2012","Imidacloprid movement in soils and impacts on soil microathropods in southern appalachian eastern hemlock stands","trees","","abundance","Orabatida","Orbatid mites","Orabatida","detritivore","both","both","control","IMI","","","","soil injection",0,1.5,NA,"g/inch",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,2,6,NA,NA,NA,2008,"tree","abundance","post-treatment counts per tree (1m), low elevation, 1yr",0.5,0.29,4,2.45,NA,NA,NA,NA,NA,NA,2,"4",3,"North Carolina","Author","N",1.74272487386662,0.541567545673871,0,0,0
"12","Knoepp et al. ","2012","Imidacloprid movement in soils and impacts on soil microathropods in southern appalachian eastern hemlock stands","trees","","abundance","Orabatida","Orbatid mites","Orabatida","detritivore","both","both","control","IMI","","","","soil injection",0,1.5,NA,"g/inch",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,2,6,NA,NA,NA,2008,"tree","abundance","post-treatment counts per tree (2m), low elevation, 1yr",2,0,6.83,3.08,NA,NA,NA,NA,NA,NA,2,"4",3,"North Carolina","Author","N",1.92639162129472,0.581803296096798,0,0,0
"13","Knoepp et al. ","2012","Imidacloprid movement in soils and impacts on soil microathropods in southern appalachian eastern hemlock stands","trees","","abundance","Orabatida","Orbatid mites","Orabatida","detritivore","both","both","control","IMI","","","","soil injection",0,1.5,NA,"g/inch",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,2,6,NA,NA,NA,2008,"tree","abundance","post-treatment counts per tree (dripline), low elevation, 1yr",0.5,0.5,9.17,5.86,NA,NA,NA,NA,NA,NA,2,"4",3,"North Carolina","Author","N",1.81090010528039,0.554462804536934,0,0,0
"14","Knoepp et al. ","2012","Imidacloprid movement in soils and impacts on soil microathropods in southern appalachian eastern hemlock stands","trees","","abundance","Orabatida","Orbatid mites","Orabatida","detritivore","both","both","control","IMI","","","","soil injection",0,1.5,NA,"g/inch",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,2,6,NA,NA,NA,2008,"tree","abundance","post-treatment counts per tree (1m), high elevation, 1yr",4,1.73,2.17,0.79,NA,NA,NA,NA,NA,NA,2,"4",3,"North Carolina","Author","N",-1.18202048118479,1.66475095844588,0,0,0
"15","Knoepp et al. ","2012","Imidacloprid movement in soils and impacts on soil microathropods in southern appalachian eastern hemlock stands","trees","","abundance","Orabatida","Orbatid mites","Orabatida","detritivore","both","both","control","IMI","","","","soil injection",0,1.5,NA,"g/inch",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,2,6,NA,NA,NA,2008,"tree","abundance","post-treatment counts per tree (2m), high elevation, 1yr",11,5.19,8.33,3.4,NA,NA,NA,NA,NA,NA,2,"4",3,"North Carolina","Author","N",-0.528629093108419,1.20002456589714,0,0,0
